round,player1,player2,answer1,answer2,points1,points2,total1,total2,option1,option2,psbr_strategy_p1,psbr_strategy_p2,psbr_value_j_p1,psbr_value_f_p1,psbr_value_j_p2,psbr_value_f_p2,psbr_samples,psbr_horizon,psbr_discount,psbr_sample_temperature,psbr_strategy_inference
65,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,521,441,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
66,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,529,449,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
67,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,537,457,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
68,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,545,465,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
69,openai/gpt-oss-20b,openai/gpt-oss-20b,J,F,0,10,545,475,1,0,allc,alld,160.0,105.0,95.0,100.0,5,20,1.0,0.8,llm-label
70,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,553,483,1,0,allc,allc,160.0,155.2,152.0,100.0,5,20,1.0,0.8,llm-label
71,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,561,491,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
72,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,569,499,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
73,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,577,507,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
74,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,585,515,0,1,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
75,openai/gpt-oss-20b,openai/gpt-oss-20b,J,F,0,10,585,525,1,0,allc,alld,160.0,105.0,95.0,100.0,5,20,1.0,0.8,llm-label
76,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,593,533,1,0,allc,allc,160.0,139.6,152.0,100.0,5,20,1.0,0.8,llm-label
77,openai/gpt-oss-20b,openai/gpt-oss-20b,J,F,0,10,593,543,1,0,allc,alld,160.0,105.0,160.0,200.0,5,20,1.0,0.8,llm-label
78,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,601,551,1,0,allc,allc,160.0,149.2,152.0,100.0,5,20,1.0,0.8,llm-label
79,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,609,559,1,0,allc,allc,160.0,105.0,160.0,105.0,5,20,1.0,0.8,llm-label
80,openai/gpt-oss-20b,openai/gpt-oss-20b,J,F,0,10,609,569,1,0,allc,alld,160.0,105.0,95.0,100.0,5,20,1.0,0.8,llm-label
81,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,617,577,0,1,allc,allc,160.0,150.4,152.0,100.0,5,20,1.0,0.8,llm-label
82,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,625,585,0,1,allc,allc,152.0,100.0,152.0,100.0,5,20,1.0,0.8,llm-label
83,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,633,593,1,0,allc,allc,144.0,95.0,144.0,95.0,5,20,1.0,0.8,llm-label
84,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,641,601,1,0,allc,allc,136.0,90.0,136.0,90.0,5,20,1.0,0.8,llm-label
85,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,649,609,0,1,allc,allc,128.0,85.0,128.0,85.0,5,20,1.0,0.8,llm-label
86,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,657,617,1,0,allc,allc,120.0,80.0,120.0,80.0,5,20,1.0,0.8,llm-label
87,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,667,617,1,0,alld,allc,65.0,70.0,112.0,75.0,5,20,1.0,0.8,llm-label
88,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,675,625,1,0,allc,allc,96.0,65.0,104.0,96.8,5,20,1.0,0.8,llm-label
89,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,683,633,1,0,allc,allc,96.0,65.0,96.0,65.0,5,20,1.0,0.8,llm-label
90,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,691,641,0,1,allc,allc,88.0,60.0,88.0,60.0,5,20,1.0,0.8,llm-label
91,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,699,649,1,0,allc,allc,80.0,55.0,80.0,55.0,5,20,1.0,0.8,llm-label
92,openai/gpt-oss-20b,openai/gpt-oss-20b,J,F,0,10,699,659,1,0,allc,alld,72.0,50.0,72.0,90.0,5,20,1.0,0.8,llm-label
93,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,707,667,1,0,allc,allc,64.0,54.4,56.0,40.0,5,20,1.0,0.8,llm-label
94,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,715,675,0,1,allc,allc,56.0,40.0,56.0,40.0,5,20,1.0,0.8,llm-label
95,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,725,675,1,0,alld,allc,48.0,60.0,48.0,35.0,5,20,1.0,0.8,llm-label
96,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,733,683,0,1,allc,allc,32.0,25.0,40.0,36.0,5,20,1.0,0.8,llm-label
97,openai/gpt-oss-20b,openai/gpt-oss-20b,F,J,10,0,743,683,0,1,alld,allc,15.0,20.0,32.0,25.0,5,20,1.0,0.8,llm-label
98,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,751,691,1,0,allc,allc,16.0,15.0,24.0,22.0,5,20,1.0,0.8,llm-label
99,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,8,8,759,699,1,0,allc,allc,16.0,15.0,16.0,15.0,5,20,1.0,0.8,llm-label
100,openai/gpt-oss-20b,openai/gpt-oss-20b,F,F,5,5,764,704,0,1,alld,alld,8.0,10.0,8.0,10.0,5,20,1.0,0.8,llm-label
