round,player1,player2,answer1,answer2,points1,points2,total1,total2,psbr_strategy_p1,psbr_strategy_p2,psbr_value_j_p1,psbr_value_f_p1,psbr_value_j_p2,psbr_value_f_p2,psbr_samples,psbr_horizon,psbr_discount,psbr_sample_temperature,psbr_strategy_inference
34,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,340,238,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
35,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,350,245,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
36,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,360,252,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
37,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,370,259,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
38,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,380,266,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
39,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,390,273,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
40,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,400,280,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
41,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,410,287,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
42,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,420,294,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
43,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,430,301,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
44,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,440,308,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
45,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,450,315,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
46,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,460,322,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
47,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,470,329,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
48,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,480,336,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
49,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,490,343,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
50,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,500,350,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
51,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,510,357,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
52,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,520,364,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
53,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,530,371,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
54,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,540,378,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
55,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,550,385,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
56,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,560,392,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
57,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,570,399,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
58,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,580,406,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
59,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,590,413,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
60,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,600,420,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
61,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,610,427,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
62,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,620,434,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
63,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,630,441,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
64,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,640,448,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
65,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,650,455,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
66,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,660,462,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
67,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,670,469,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
68,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,680,476,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
69,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,690,483,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
70,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,700,490,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
71,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,710,497,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
72,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,720,504,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
73,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,730,511,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
74,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,740,518,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
75,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,750,525,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
76,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,760,532,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
77,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,770,539,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
78,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,780,546,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
79,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,790,553,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
80,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,800,560,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
81,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,810,567,follow_last_opp,follow_last_opp,200.0,100.0,140.0,70.0,5,20,1.0,0.8,llm-label
82,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,820,574,follow_last_opp,follow_last_opp,190.0,90.0,133.0,63.0,5,20,1.0,0.8,llm-label
83,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,830,581,follow_last_opp,follow_last_opp,180.0,90.0,126.0,63.0,5,20,1.0,0.8,llm-label
84,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,840,588,follow_last_opp,follow_last_opp,170.0,80.0,119.0,56.0,5,20,1.0,0.8,llm-label
85,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,850,595,follow_last_opp,follow_last_opp,160.0,80.0,112.0,56.0,5,20,1.0,0.8,llm-label
86,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,860,602,follow_last_opp,follow_last_opp,150.0,70.0,105.0,49.0,5,20,1.0,0.8,llm-label
87,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,870,609,follow_last_opp,follow_last_opp,140.0,70.0,98.0,49.0,5,20,1.0,0.8,llm-label
88,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,880,616,follow_last_opp,follow_last_opp,130.0,60.0,91.0,42.0,5,20,1.0,0.8,llm-label
89,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,890,623,follow_last_opp,follow_last_opp,120.0,60.0,84.0,42.0,5,20,1.0,0.8,llm-label
90,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,900,630,follow_last_opp,follow_last_opp,110.0,50.0,77.0,35.0,5,20,1.0,0.8,llm-label
91,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,910,637,follow_last_opp,follow_last_opp,100.0,50.0,70.0,35.0,5,20,1.0,0.8,llm-label
92,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,920,644,follow_last_opp,follow_last_opp,90.0,40.0,63.0,28.0,5,20,1.0,0.8,llm-label
93,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,930,651,follow_last_opp,follow_last_opp,80.0,40.0,56.0,28.0,5,20,1.0,0.8,llm-label
94,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,940,658,follow_last_opp,follow_last_opp,70.0,30.0,49.0,21.0,5,20,1.0,0.8,llm-label
95,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,950,665,follow_last_opp,follow_last_opp,60.0,30.0,42.0,21.0,5,20,1.0,0.8,llm-label
96,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,960,672,follow_last_opp,follow_last_opp,50.0,20.0,35.0,14.0,5,20,1.0,0.8,llm-label
97,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,970,679,follow_last_opp,follow_last_opp,40.0,20.0,28.0,14.0,5,20,1.0,0.8,llm-label
98,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,980,686,follow_last_opp,follow_last_opp,30.0,10.0,21.0,7.0,5,20,1.0,0.8,llm-label
99,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,990,693,follow_last_opp,follow_last_opp,20.0,10.0,14.0,7.0,5,20,1.0,0.8,llm-label
100,openai/gpt-oss-20b,openai/gpt-oss-20b,J,J,10,7,1000,700,alternate_phase1,alternate_phase1,10.0,0.0,7.0,1.4,5,20,1.0,0.8,llm-label
